Lp,Age,Gender,School,Class,Living,KWS_1,KWS_2,KWS_3,KWS_4,KWS_5,KWS_6,KWS_7,KWS_8,KWS_9,KWS_10,KWS_11,KWS_12,KWS_13,KWS_14,KWS_15,KWS_16,KWS_17,KWS_18,KWS_19,DASS_1,DASS_2,DASS_3,DASS_4,DASS_5,DASS_6,DASS_7,DASS_8,DASS_9,DASS_10,DASS_11,DASS_12,DASS_13,DASS_14,DASS_15,DASS_16,DASS_17,DASS_18,DASS_19,DASS_20,DASS_21,ChFQ_1,ChFQ_2,ChFQ_3,ChFQ_4,ChFQ_5,ChFQ_6,ChFQ_7,ChFQ_8,ChFQ_9,ChFQ_10,ChFQ_11,KMN_1,KMN_2,KMN_3,KMN_4,KMN_5,KMN_6,KMN_7,KMN_8,KMN_9,KMN_10,KMN_11,KMN_12,KMN_13,KMN_14,KMN_15,KMN_16,KMN_17,KMN_18,KMN_19,KMN_20,KMN_21,KMN_22,KMN_23,KMN_24,KMN_25,KMN_26,KMN_27,KMN_28,KMN_29,KMN_30,FRAS_1,FRAS_2,FRAS_3,FRAS_4,FRAS_5,FRAS_6,FRAS_7,FRAS_8,FRAS_9,FRAS_10,FRAS_11,FRAS_12,FRAS_13,FRAS_14,FRAS_15,FRAS_16,FRAS_17,FRAS_18,FRAS_19,FRAS_20,FRAS_21,FRAS_22,FRAS_23,FRAS_24,FRAS_25,FRAS_26,FRAS_27,FRAS_28,FRAS_29,FRAS_30,FRAS_31,FRAS_32,FRAS_33,FRAS_34,FRAS_35,FRAS_36,FRAS_37,FRAS_38,FRAS_39,FRAS_40,FRAS_41,FRAS_42,FRAS_43,FRAS_44,FRAS_45,FRAS_46,FRAS_47,FRAS_48,FRAS_49,FRAS_50,FRAS_51,FRAS_52,FRAS_53,FRAS_54,JiMSz_1,JiMSz_2,JiMSz_3,JiMSz_4,JiMSz_5,JiMSz_6,JiMSz_7,JiMSz_8,JiMSz_9,JiMSz_10,JiMSz_11,JiMSz_12,JiMSz_13,JiMSz_14,JiMSz_15,JiMSz_16,JiMSz_17,JiMSz_18,JiMSz_19,JiMSz_20,JiMSz_21,JiMSz_22,JiMSz_23,JiMSz_24,JiMSz_25,JiMSz_26,JiMSz_27,JiMSz_28,JiMSz_29,JiMSz_30,JiMSz_31,JiMSz_32,JiMSz_33,JiMSz_34,JiMSz_35,JiMSz_36,JiMSz_37,JiMSz_38,JiMSz_39,JiMSz_40,JiMSz_41,JiMSz_42,JiMSz_43,JiMSz_44,JiMSz_45,JiMSz_46,JiMSz_47,JiMSz_48,JiMSz_49,JiMSz_50,JiMSz_51,JiMSz_52,JiMSz_53,JiMSz_54,JiMSz_55,JiMSz_56,JiMSz_57,JiMSz_58,JiMSz_59,JiMSz_60,JiMSz_61,JiMSz_62,JiMSz_63,JiMSz_64,JiMSz_65,JiMSz_66,JiMSz_67,JiMSz_68,JiMSz_69,JiMSz_70,JiMSz_71,JiMSz_72,JiMSz_73
1,16,M,T,2,R,2,4,2,3,5,3,3,4,2,3,1,4,4,4,4,3,2,4,1,1,2,0,2,1,0,0,0,0,0,0,2,2,0,0,0,1,1,0,2,1,3,3,4,2,3,2,3,2,2,2,2,3,1,1,1,4,3,4,4,1,4,2,2,3,4,1,2,4,5,1,3,2,3,1,1,4,3,2,3,5,2,3,3,3,2,3,4,3,4,3,3,2,3,3,2,3,2,3,3,3,3,4,4,2,4,3,2,3,3,3,3,2,4,2,3,4,3,2,2,3,3,3,3,4,2,2,3,3,2,3,3,3,3,3,3,0,2,0,2,2,0,0,0,2,0,2,0,2,2,2,0,0,2,0,0,2,2,0,2,0,0,2,0,2,2,2,0,2,0,2,0,2,2,2,0,2,2,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,2,2,2,0,0,2,2,2,0,2,0,2,0,0,0,2
2,15,M,T,2,R,4,4,3,5,4,2,2,4,4,5,1,1,4,4,1,5,3,4,1,3,1,2,2,2,0,1,3,1,2,1,3,2,1,2,2,2,2,2,2,3,4,3,3,2,3,2,3,2,3,2,3,4,4,2,2,3,1,3,1,2,3,4,2,4,3,1,4,1,3,4,3,1,3,1,2,3,3,3,2,3,1,2,2,4,3,4,4,3,4,3,2,1,1,3,3,3,2,1,3,3,3,3,3,2,3,3,3,3,3,2,3,2,3,3,2,2,3,2,2,2,3,1,1,1,1,2,2,2,2,3,3,3,3,2,3,0,2,0,0,2,0,2,2,0,0,2,0,2,0,2,2,0,2,2,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,0,2,0,2,2,0,2,2,2,2,0,2,2,2,2,2
3,16,M,T,2,R,2,4,1,4,2,4,1,2,5,3,1,1,4,4,1,4,1,3,2,2,0,1,1,1,0,1,0,3,3,2,1,2,3,1,2,3,1,1,0,3,2,3,1,2,3,1,1,3,4,4,3,2,3,5,3,2,4,5,1,2,3,4,4,1,3,2,5,1,3,1,2,1,5,1,5,3,5,4,2,1,1,2,3,1,3,4,2,1,3,2,1,1,1,2,3,1,1,2,3,3,4,2,3,1,3,2,1,2,2,2,1,3,3,4,2,1,3,3,3,4,1,2,1,3,1,2,1,2,1,3,2,3,3,2,3,0,2,0,2,0,2,2,0,0,0,2,0,2,1,2,2,0,2,0,0,2,0,0,2,2,0,2,1,0,2,0,0,2,2,2,2,2,2,2,2,2,0,0,2,2,1,0,2,2,2,2,0,2,1,2,0,1,0,2,0,2,2,1,2,0,2,2,0,2,2,2,0,0
4,16,M,T,2,R,1,1,5,5,5,3,5,1,1,1,1,5,2,5,5,1,1,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,2,2,2,2,3,2,2,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,4,1,1,5,1,1,5,5,3,5,1,1,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,3,2,3,3,3,3,0,0,0,2,0,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5,16,K,T,2,R,3,5,2,3,4,2,4,4,2,3,2,4,4,5,4,5,2,1,1,2,2,2,3,1,2,3,3,3,1,1,1,2,1,1,0,0,1,2,2,1,3,3,4,2,4,4,3,2,1,2,3,4,3,4,2,1,1,4,4,1,4,2,1,1,4,1,4,5,4,1,1,4,2,1,4,1,1,3,1,1,1,3,3,3,4,4,2,2,3,2,2,2,3,4,3,3,1,3,3,3,3,4,3,3,4,4,3,2,3,3,3,2,3,3,3,4,3,2,2,3,3,4,2,3,2,2,2,3,3,4,2,3,2,3,3,0,2,0,2,0,0,2,0,2,0,2,0,0,0,0,1,0,0,2,0,0,0,2,2,0,2,0,2,2,2,0,0,0,2,2,2,0,2,2,0,2,0,0,2,2,0,0,2,2,0,0,0,2,0,2,0,2,0,2,0,2,2,0,0,2,2,2,0,2,2,0,2,0
6,15,M,T,2,R,3,4,2,3,2,1,4,3,3,4,2,4,5,5,4,2,3,2,2,1,0,0,0,2,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,1,3,1,3,1,2,1,1,1,5,2,4,4,4,1,4,3,2,4,3,2,1,4,2,4,3,4,1,1,2,4,1,3,4,4,4,1,3,3,3,3,2,4,4,2,3,3,3,3,1,3,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,2,3,2,2,3,1,3,3,3,2,2,3,3,2,3,3,2,3,3,4,2,3,4,3,3,3,4,0,2,2,2,0,0,2,0,0,2,2,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,2,2,2,2,2,0,2,0,0,2,0,2,2,0,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,2,0,2,2,2,0,0,2,0,2,0,0,2,2,0,2,0
7,15,M,T,2,R,1,2,4,4,3,4,3,2,4,2,2,4,2,5,4,3,3,2,1,1,3,0,1,1,2,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,2,3,2,1,1,1,2,2,3,2,1,4,1,3,2,4,1,3,2,2,4,3,1,4,3,1,4,5,1,4,1,3,4,4,3,2,3,2,2,4,5,3,4,3,3,3,3,3,3,3,3,3,1,3,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,3,2,2,3,3,2,2,3,3,3,3,2,0,2,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,2,0,2,0,2,2,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,2
8,19,M,T,5,R,2,4,2,2,3,3,4,4,4,4,2,3,2,4,4,4,2,2,2,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,3,3,3,2,3,2,3,3,3,2,3,4,2,2,2,2,2,2,4,3,2,3,2,3,2,2,3,4,2,3,2,4,3,2,2,2,4,2,2,4,3,3,3,3,4,3,2,3,2,2,2,3,1,2,2,2,3,2,3,3,3,3,3,2,3,2,2,2,2,3,2,3,3,2,3,2,3,3,3,3,2,2,2,3,2,2,3,2,2,3,2,3,2,2,3,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,2,0,0,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,2,2,2,0,0,0,2,0,2
9,18,M,T,5,R,1,5,2,3,4,2,5,3,1,4,1,5,4,5,5,2,2,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,4,4,2,2,3,4,1,4,2,1,1,3,3,5,3,5,3,1,4,3,3,5,1,3,5,2,1,3,1,5,1,2,1,1,3,2,5,5,1,1,3,2,2,3,2,2,2,3,2,3,1,2,3,1,2,1,2,2,2,3,3,3,2,3,2,2,2,2,3,2,3,4,2,2,3,3,3,3,2,2,2,3,3,1,3,3,1,2,3,4,3,2,3,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,2,0,0,0
10,18,M,T,5,R,2,4,3,3,2,2,3,1,3,5,3,4,2,4,5,3,1,2,1,0,1,1,0,1,1,1,0,2,1,0,0,1,1,0,0,0,0,2,0,0,3,2,3,2,3,1,2,2,4,2,2,4,3,1,1,2,1,1,3,1,2,1,1,1,2,1,2,3,3,3,1,2,1,1,1,2,1,2,1,1,2,3,4,4,3,3,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,4,4,4,1,3,3,3,2,4,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,4,0,0,0,2,0,0,0,2,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,2,2,2,2
